cabell_robinson,cabell_b__robinson
shaq,shaq_o_neal
shaquille_oneal,shaq_o_neal
benares,varanasi
bombay,mumbai
calcutta,kolkata
ho_chi_minh_city,saigon
los_angeles,la
los_angeles,l_a_
ourense,orense
philadelphia,philly
st_louis,st_louis
istanbul,constantinople
kochi,cochin
kashi,varanasi
jason_williams,jason_williams
bobby_abreu,bobby_abreu
granger,danny_granger
james_posey,james_posey
jonathan_vilma,jonathan_vilma
kevin_martin,kevin_martin
manu_ginobili,manu_ginobili
mark_sanchez,mark_sanchez
marquis_daniels,eric_piatkowski
peyton_manning,peyton_manning
david_carr,david_carr
oprah_winfrey,oprah
bob_wilson,bob_primrose_wilson
chris_brown,christopher_brown
kevin_garnett,kevin_garnett
charlie_hustle,pete_rose
jamaal_magloire,jamaal_magloire
james_posey,james_posey
chris_brown,christopher_brown
david_lee,david_lee
james_posey,james_posey
andrew_miller,andrew_miller
jason_williams,jason_williams
james_posey,james_posey
lance_berkman,lance_berkman
ichiro_suzuki,ichiro_suzuki
mike_dunleavy,mike_dunleavy
raymond_felton,raymond_felton
richard_jefferson,richard_jefferson
caterpillar,cat
gm,general_motors
adm,archer_daniels_midland
amd,advanced_micro_devices
canadian_jewish_congress,cjc
rccl,royal_caribbean_cruises
macedonia,bosnia_and_herzegovina
russia,ussr
philadelphia_inquirer,phillyinquirer
zagat,zagat_survey
aig,american_international_group
oracle,oracle_corporation
sin_city,las_vegas
sin_city,vegas
michael_jackson,_king_of_pop
windy_city,chicago
apple,apple_inc
dec,digital_equipment_corporation
ge,general_electric
hp,hewlett_packard
irs,internal_revenue_service
armistice_day,remembrance_day
big_apple,new_york_city
big_apple,new_york_city
city_of_brotherly_love,philadelphia
pm,private_message
nyc,new_york_city
nyse,new_york_stock_exchange
philadelphia_inquirer,the_inquirer
bhp,bhp_billiton_ltd
honest_abe,abraham_lincoln
sta,wl
nbc,national_broadcasting_corporation
wells_fargo,wfc
aa,alcoa_inc
ibm,international_business_machines
chicago_cubs,cubbies
jacksonville_jaguars,jags
red_sox,olde_towne_team
sun_devils,ucla
tarheels,unc_tarheels
abdul_rahim_noor,abdul_rahim
alberto_gonzales,al_gonzales
abu_zubaydah,abu_zubeidah
al_hubbard,allan_hubbard
doctor_death,jack_kevorkian
yolanda_king,yoki
raja_bell,raja_bell
tebow,tim_tebow
tyson_chandler,tyson_chandler
caron_butler,caron_butler
fielder,prince_fielder
volgograd,stalingrad
aaron_mckie,aaron_mckie
vadodara,baroda
moulmein,mawlamyine
cal_ripken,odalis_perez
chris_young,dmitri_young
martinez,campo_grande
omaha,creighton
washington_d_c,georgetown
washington_d_c,howard
hanoi,saigon
louisiana,mississippi
bombay,kolkata
mumbai,kolkata
moncton,new_brunswick
st_louis,mississippi
lethbridge,alberta
memphis,mississippi
washington_d_c,new_york
gulfport,mississippi
baton_rouge,mississippi
st_louis,washington_d_c
johannesburg,rio
los_angeles,rio
west_hollywood,la
madrid,rio
minneapolis,mississippi
orleans,new_york
caron_butler,eric_piatkowski
granger,jamaal_magloire
granger,wayne_simien
jamaal_magloire,wayne_simien
jamaal_magloire,danny_granger
lance_berkman,fred_lynn
wayne_simien,danny_granger
david_carr,george_johnson
david_carr,brian_shaw
david_carr,george_johnson
david_carr,david_shaw
david_carr,george_johnson
brian_shaw,george_johnson
brian_shaw,david_carr
brian_shaw,george_johnson
brian_shaw,david_shaw
brian_shaw,george_johnson
david_carr,george_johnson
david_carr,david_shaw
david_carr,george_johnson
george_johnson,david_shaw
jamaal_magloire,granger
david_ross,gary_carter
brad,adam_morrison
brad,andrew_miller
brad,gary_carter
david_lee,david_robinson
david_shaw,george_johnson
brad,adam_morrison
brad,andrew_miller
brad,gary_carter
andrew_miller,adam_morrison
andrew_miller,gary_carter
andrew_miller,david_ross
andrew_miller,raymond_felton
andrew_miller,gary_carter
gary_carter,raymond_felton
gary_carter,adam_morrison
gary_carter,raymond_felton
gary_carter,david_ross
david_ross,adam_morrison
david_ross,brad
david_ross,brad
david_ross,andrew_miller
lance_berkman,fred_lynn
caron_butler,marquis_daniels
brad,raymond_felton
andrew_miller,raymond_felton
david_ross,raymond_felton
minnesota_vikings,falcons
rams,titans
dallas_cowboys,seahawks
pittsburgh_penguins,ottawa_senators
pirates,chicago_cubs
rams,seahawks
dallas_mavericks,miami_hurricanes
ac_milan,benfica
bc_lions,edmonton_eskimos
chicago_bears_in_super_bowl_xli,seahawks
dallas_mavericks,miami_hurricanes
seahawks,chicago_bears_in_super_bowl_xli
hong_kong_island,canton
los_banos,l_a_
rio,rio_grande
santiago,campo_grande
santiago,rio_grande
louisiana,mississippi
st_louis,mississippi
memphis,mississippi
johannesburg,rio
brooklyn,prospect
katni,murwara
dc,guyana
dc,howard
new_westminster,british_columbia
prince_george,british_columbia
